symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,655959380008,655959380037,2,29245.75,29216.50,$(117.00),09/10/2026 16:57:11,09/10/2026 17:02:51,5min 39sec
MNQU6,-2,0,0.25,655959380051,655959380045,2,29241.75,29215.75,$(104.00),09/10/2026 17:04:20,09/10/2026 17:02:57,1min 22sec
MCLV6,-2,0,0.01,655959380060,655959380089,10,100.42,100.30,$(120.00),09/10/2026 17:23:10,09/10/2026 17:24:42,1min 31sec
MCLV6,-2,0,0.01,655959380109,655959380103,10,100.38,100.30,$(80.00),09/10/2026 17:26:10,09/10/2026 17:25:15,55sec
MCLV6,-2,0,0.01,655959380123,655959380117,5,101.10,100.61,$(245.00),09/10/2026 17:48:14,09/10/2026 17:41:09,7min 5sec
MCLV6,-2,0,0.01,655959380131,655959380162,10,101.10,101.50,$400.00,09/10/2026 17:48:23,09/10/2026 18:09:14,20min 51sec
CLV6,-2,0,0.01,655959380205,655959380180,1,100.67,101.23,$560.00,09/11/2026 09:17:17,09/11/2026 07:37:28,1h 39min 49sec
GCZ6,-1,0,0.1,655959380256,655959380231,1,4327.9,4328.1,$20.00,09/14/2026 14:00:30,09/14/2026 13:54:09,6min 20sec
GCZ6,-1,0,0.1,655959380287,655959380268,1,4328.6,4326.0,$(260.00),09/14/2026 14:07:02,09/14/2026 14:04:29,2min 32sec
GCZ6,-1,0,0.1,655959380299,655959380322,1,4331.9,4332.1,$20.00,09/14/2026 14:08:20,09/14/2026 14:16:57,8min 37sec
GCZ6,-1,0,0.1,655959380363,655959380334,1,4327.7,4326.9,$(80.00),09/14/2026 14:22:31,09/14/2026 14:21:40,50sec
MNQZ6,-2,0,0.25,655959380392,655959380385,2,29273.00,29252.00,$(84.00),09/15/2026 17:03:46,09/15/2026 17:00:11,3min 34sec
MNQZ6,-2,0,0.25,655959380400,655959380406,4,29278.00,29280.75,$22.00,09/15/2026 17:03:59,09/15/2026 17:07:01,3min 1sec
MNQZ6,-2,0,0.25,655959380414,655959380430,4,29281.00,29264.25,$(134.00),09/15/2026 17:07:08,09/15/2026 17:32:45,25min 37sec
MNQZ6,-2,0,0.25,655959380444,655959380438,4,29277.25,29268.50,$(70.00),09/15/2026 17:33:35,09/15/2026 17:32:51,43sec
MNQZ6,-2,0,0.25,655959380452,655959380459,4,29275.00,29272.50,$(20.00),09/15/2026 17:33:40,09/15/2026 17:33:51,10sec
MNQZ6,-2,0,0.25,655959380478,655959380497,3,29451.25,29479.75,$171.00,09/16/2026 15:49:46,09/16/2026 18:03:47,2h 14min 
